No.,Date,Time,Header,Data,Unit,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
65,2024/7/24,15:16:24,US,10.888,g,,,,,
66,2024/7/24,15:16:25,US,10.888,g,,,,,
67,2024/7/24,15:16:26,US,10.888,g,,,,,
68,2024/7/24,15:16:27,US,10.93,g,,,,,
69,2024/7/24,15:16:28,US,10.93,g,,,,,
70,2024/7/24,15:16:29,US,10.93,g,,,,,
71,2024/7/24,15:16:30,US,10.952,g,,,,,
72,2024/7/24,15:16:31,US,10.952,g,,,,,
73,2024/7/24,15:16:32,US,10.952,g,,,,,
74,2024/7/24,15:16:33,US,10.952,g,,,,,
75,2024/7/24,15:16:34,US,10.952,g,,,,,
76,2024/7/24,15:16:35,US,10.952,g,,,,,
77,2024/7/24,15:16:36,US,10.983,g,,,,,
78,2024/7/24,15:16:37,US,10.992,g,,,,,
79,2024/7/24,15:16:38,US,10.992,g,,,,,
80,2024/7/24,15:16:39,US,11.033,g,,,,,
81,2024/7/24,15:16:40,US,11.033,g,,,,,
82,2024/7/24,15:16:41,US,11.033,g,,,,,
83,2024/7/24,15:16:42,US,11.033,g,,,,,
84,2024/7/24,15:16:43,US,11.033,g,,,,,
85,2024/7/24,15:16:44,US,11.033,g,,,,,
86,2024/7/24,15:16:45,US,11.033,g,,,,,
87,2024/7/24,15:16:46,US,11.033,g,,,,,
88,2024/7/24,15:16:47,US,11.033,g,,,,,
89,2024/7/24,15:16:48,US,11.078,g,,,,,
90,2024/7/24,15:16:49,US,11.078,g,,,,,
91,2024/7/24,15:16:50,US,11.078,g,,,,,
92,2024/7/24,15:16:51,US,11.078,g,,,,,
93,2024/7/24,15:16:52,US,11.233,g,,,,,
94,2024/7/24,15:16:53,US,11.819,g,,,,,
95,2024/7/24,15:16:53,US,11.884,g,,,,,
96,2024/7/24,15:16:55,US,11.884,g,,,,,
97,2024/7/24,15:16:56,US,11.884,g,,,,,
98,2024/7/24,15:16:57,US,11.884,g,,,,,
99,2024/7/24,15:16:58,US,11.884,g,,,,,
100,2024/7/24,15:16:59,US,11.884,g,,,,,
101,2024/7/24,15:17:00,US,11.92,g,,,,,
102,2024/7/24,15:17:01,US,11.92,g,,,,,
103,2024/7/24,15:17:02,US,11.92,g,,,,,
104,2024/7/24,15:17:03,US,11.94,g,,,,,
105,2024/7/24,15:17:04,US,11.94,g,,,,,
106,2024/7/24,15:17:05,US,11.94,g,,,,,
107,2024/7/24,15:17:06,US,11.94,g,,,,,
108,2024/7/24,15:17:07,US,11.94,g,,,,,
109,2024/7/24,15:17:08,US,11.976,g,,,,,
110,2024/7/24,15:17:09,US,11.976,g,,,,,
111,2024/7/24,15:17:10,US,11.977,g,,,,,
112,2024/7/24,15:17:11,US,11.977,g,,,,,
113,2024/7/24,15:17:12,US,11.977,g,,,,,
114,2024/7/24,15:17:13,US,11.977,g,,,,,
115,2024/7/24,15:17:14,US,11.977,g,,,,,
116,2024/7/24,15:17:15,US,11.977,g,,,,,
117,2024/7/24,15:17:16,US,11.977,g,,,,,
118,2024/7/24,15:17:17,US,11.977,g,,,,,
119,2024/7/24,15:17:18,US,11.977,g,,,,,
120,2024/7/24,15:17:19,US,12.004,g,,,,,
121,2024/7/24,15:17:20,US,12.004,g,,,,,
122,2024/7/24,15:17:21,ST,12.004,g,,,,,
123,2024/7/24,15:17:22,US,12.008,g,,,,,
124,2024/7/24,15:17:23,US,12.039,g,,,,,
125,2024/7/24,15:17:24,US,12.039,g,,,,,
126,2024/7/24,15:17:25,US,12.039,g,,,,,
127,2024/7/24,15:17:25,US,12.039,g,,,,,
128,2024/7/24,15:17:27,US,12.039,g,,,,,
129,2024/7/24,15:17:28,US,12.067,g,,,,,
130,2024/7/24,15:17:29,ST,12.067,g,,,,,
131,2024/7/24,15:17:30,US,12.067,g,,,,,
132,2024/7/24,15:17:31,US,12.077,g,,,,,
133,2024/7/24,15:17:32,US,12.077,g,,,,,
134,2024/7/24,15:17:33,US,12.077,g,,,,,
135,2024/7/24,15:17:34,US,12.077,g,,,,,
136,2024/7/24,15:17:35,US,12.077,g,,,,,
137,2024/7/24,15:17:36,ST,12.077,g,,,,,
138,2024/7/24,15:17:37,US,12.077,g,,,,,
139,2024/7/24,15:17:38,US,12.077,g,,,,,
140,2024/7/24,15:17:39,US,12.077,g,,,,,
141,2024/7/24,15:17:40,US,12.077,g,,,,,
142,2024/7/24,15:17:41,US,12.077,g,,,,,
143,2024/7/24,15:17:42,US,12.077,g,,,,,
144,2024/7/24,15:17:43,US,12.077,g,,,,,
145,2024/7/24,15:17:44,US,12.077,g,,,,,
146,2024/7/24,15:17:45,US,12.077,g,,,,,
147,2024/7/24,15:17:46,US,12.077,g,,,,,
